Title,ISBN,Author,Published Year,Publisher,Status
The Great Adventure,978-0345339683,John Smith,2001,Penguin Books,Available
Lost in Time,978-0451524935,Susan Davis,1999,HarperCollins,Borrowed
Echoes of the Past,978-0679783268,Michael Brown,2015,Random House,Available
Shadows in the Fog,978-1501125927,Emily Johnson,2012,Simon & Schuster,Borrowed
The Final Empire,978-0765376671,Brandon Sanderson,2006,Tor Books,Available
Winds of Change,978-0316769488,Harper Lee,1988,Vintage,Borrowed
Silent Whispers,978-0140280098,Robert King,2003,Knopf,Available
The Hidden Truth,978-0743273565,Linda Moore,2017,Scribner,Available
Rising Phoenix,978-0553382563,Richard Castle,2009,Bantam,Borrowed
Beyond the Stars,978-0061120084,Nancy Wells,2018,HarperCollins,Available
Twilight Horizon,978-0446310789,Stephanie Meyer,2005,Little, Brown,Borrowed
Frozen Echoes,978-0345803481,James Roberts,2011,Vintage,Available
The Forsaken Path,978-0385754729,Christopher Paul,2013,Delacorte,Borrowed
Dawn of Legends,978-0062315007,Erin Hunter,2016,HarperTeen,Available
The Eternal Flame,978-0525559474,Sarah Parker,2020,Dutton,Borrowed
Forgotten Realms,978-0064400025,J.K. Rowling,1997,Bloomsbury,Available
The Shadow's Edge,978-0679734772,Mark Lawrence,2008,HarperVoyager,Borrowed
A New Beginning,978-0141439587,Jane Austen,1813,Wordsworth,Available
Tales of the Unknown,978-0452284234,George Martin,1996,Bantam,Borrowed
Legends of the Lost,978-0765326355,Patrick Rothfuss,2011,DAW Books,Available
Dreams of Tomorrow,978-0062571352,Veronica Roth,2018,Katherine Tegen,Available
Memories of Yesterday,978-0525478812,Nicholas Sparks,2002,Grand Central,Borrowed
The Haunted House,978-0156032324,Edgar Allan Poe,1845,HarperPerennial,Available
The Silent Watcher,978-1501161932,Gillian Flynn,2014,Broadway,Borrowed
Journey to the Unknown,978-0385472578,Isaac Asimov,1951,Doubleday,Available
The Crimson Tide,978-0345391803,Stephen King,1990,Viking,Borrowed
Fires of Destiny,978-0345538376,Brandon Mull,2015,Aladdin,Available
The Phantom's Curse,978-0307474720,Daphne du Maurier,1938,Avon,Borrowed
Echoes of Eternity,978-0316015844,Cassandra Clare,2010,McElderry,Available
The Forsaken Prince,978-1408890037,Victoria Aveyard,2017,Orion,Borrowed
The Forgotten Scrolls,978-0441783585,Frank Herbert,1965,Chilton,Available
Into the Void,978-0062572922,Neal Shusterman,2019,Simon & Schuster,Borrowed
Wicked Lies,978-0345477644,John Grisham,2001,Doubleday,Available
Stormbreaker,978-0142406113,Anthony Horowitz,2000,Philomel,Borrowed
The Lost Kingdom,978-1101984817,James Dashner,2014,Delacorte,Available
The Moonlit Garden,978-1503945837,Corrina Bowman,2017,Lake Union,Borrowed
Guardians of the Dawn,978-1982134488,Suzanne Collins,2020,Scholastic,Available
Shadow of the Night,978-0143119685,Deborah Harkness,2011,Viking,Borrowed
Serpentine,978-0399256080,Philip Pullman,2021,Knopf,Available
The Silent Cry,978-0062335547,Kazuo Ishiguro,1989,Faber & Faber,Borrowed
Eclipse Rising,978-0385537851,Diana Gabaldon,2014,Delacorte,Available
Through the Looking Glass,978-0062024028,Lewis Carroll,1871,Macmillan,Borrowed
Ashes of Time,978-0425267950,Terry Pratchett,1995,Gollancz,Available
The Crimson Crown,978-1423179115,Cinda Williams Chima,2012,Hyperion,Borrowed
Legends Reborn,978-0441019295,Orson Scott Card,1992,Tor Books,Available
The Last Guardian,978-1423128199,Eoin Colfer,2012,Hyperion,Borrowed
The Cursed One,978-1250197281,Marie Lu,2019,Roaring Brook,Available
The Final Reckoning,978-0545284165,Darren Shan,2011,Little, Brown,Borrowed
City of Bones,978-1416955078,Cassandra Clare,2007,McElderry,Available
The Silver Mask,978-0545522426,Holly Black,2017,Scholastic,Borrowed

The Shadow's Gambit,978-0062824563,Victoria Aveyard,2021,Orion,Available
Inferno Rising,978-0385537133,Dan Brown,2013,Doubleday,Borrowed
The Silver Dagger,978-0316485496,Kelley Armstrong,2017,Little, Brown,Available
The Icebound Throne,978-0525955664,Robin Hobb,2015,Del Rey,Borrowed
The Seventh Gate,978-0345497529,Margaret Weis,2009,Random House,Available
The Nightfall War,978-0593099322,Joe Abercrombie,2019,Orbit,Borrowed
Frost and Flame,978-0062430283,Gena Showalter,2018,Harlequin,Available
The Runebinder Trials,978-1250196727,Alex R. Kahler,2020,HarperTeen,Borrowed
The Crystal Labyrinth,978-0062025721,Clive Cussler,2008,Putnam,Available
The Unfinished Tale,978-0345503817,J.R.R. Tolkien,1980,Houghton Mifflin,Borrowed
A Kingdom in Shadows,978-1501161931,Jay Kristoff,2019,St. Martin's,Available
Chronicles of the Lost,978-1250197304,Marie Lu,2021,Roaring Brook,Borrowed
The Black Throne,978-0399257742,Philip Pullman,2022,Knopf,Available
Ocean of Secrets,978-0062653842,Sarah J. Maas,2020,Bloomsbury,Borrowed
Beyond the Veil,978-0765323196,Brandon Sanderson,2017,Tor Books,Available
The Lunar Prophecy,978-0316556325,Amie Kaufman,2021,Little, Brown,Borrowed
Stars and Storms,978-0525559474,Stephanie Garber,2022,Flatiron,Available
Whispers of Destiny,978-0062874050,Neil Gaiman,2019,Harper Voyager,Borrowed
The Crimson Veil,978-0062347118,Patricia Briggs,2016,ACE,Available
The Mirror of Shadows,978-1423168346,Leigh Bardugo,2021,Orion,Borrowed
The Glass Serpent,978-0316539281,Rick Riordan,2019,Disney-Hyperion,Available
The Shattered Crown,978-0756408491,Anthony Ryan,2015,DAW Books,Borrowed
The Phoenix Reborn,978-0441013590,Ilona Andrews,2022,Berkley,Available
The Dragon's Curse,978-1524796391,Naomi Novik,2018,Del Rey,Borrowed
The Mystic Gate,978-1250077415,Kevin Hearne,2020,Delacorte,Available
The Forgotten Realm,978-0399178550,Kristin Cashore,2022,Kathy Dawson,Borrowed
A Dance of Chaos,978-0316401268,David Dalglish,2015,Orbit,Available
The Silver Flame,978-0062874067,Sarah J. Maas,2021,Bloomsbury,Borrowed
The Last Prophecy,978-0316226211,James Islington,2019,Orbit,Available
The Whispering Moon,978-1250217346,Amelia Hutchins,2022,Amazon,Borrowed
The Obsidian Heart,978-0316053985,Kim Harrison,2017,Harper Voyager,Available
The Hidden Cipher,978-1501161932,Danielle Paige,2020,Bloomsbury,Borrowed
Tales of the Forgotten,978-0062022581,Kelley Armstrong,2016,Harper Voyager,Available
